GPRMC,utc时间:01时32分38秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分38秒  正确纬度:40度47分  正确经度:111度41分  卫星05 高度1108

 GPRMC,utc时间:01时32分39秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分39秒  正确纬度:40度47分  正确经度:111度41分  卫星05 高度1106

 GPRMC,utc时间:01时32分39秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分39秒  正确纬度:40度47分  正确经度:111度41分  卫星05 高度1106

 GPRMC,utc时间:01时32分41秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分41秒  正确纬度:40度47分  正确经度:111度41分  卫星06 高度1181

 GPRMC,utc时间:01时32分42秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分42秒  正确纬度:40度47分  正确经度:111度41分  卫星06 高度1199

 GPRMC,utc时间:01时32分43秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分43秒  正确纬度:40度47分  正确经度:111度41分  卫星06 高度1195

 GPRMC,utc时间:01时32分44秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分44秒  正确纬度:40度47分  正确经度:111度41分  卫星06 高度1194

 GPRMC,utc时间:01时32分45秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分45秒  正确纬度:40度47分  正确经度:111度41分  卫星06 高度1192

 GPRMC,utc时间:01时32分46秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分46秒  正确纬度:40度47分  正确经度:111度41分  卫星06 高度1194

 GPRMC,utc时间:01时32分47秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分47秒  正确纬度:40度47分  正确经度:111度41分  卫星06 高度1195

 GPRMC,utc时间:01时32分48秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分48秒  正确纬度:40度47分  正确经度:111度41分  卫星06 高度1196

 GPRMC,utc时间:01时32分49秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分49秒  正确纬度:40度47分  正确经度:111度41分  卫星07 高度1184

 GPRMC,utc时间:01时32分50秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分50秒  正确纬度:40度47分  正确经度:111度41分  卫星07 高度1174

 GPRMC,utc时间:01时32分51秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分51秒  正确纬度:40度47分  正确经度:111度41分  卫星07 高度1167

 GPRMC,utc时间:01时32分52秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分52秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1162

 GPRMC,utc时间:01时32分53秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分53秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1159

 GPRMC,utc时间:01时32分54秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分54秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1151

 GPRMC,utc时间:01时32分55秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分55秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1147

 GPRMC,utc时间:01时32分56秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分56秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1147

 GPRMC,utc时间:01时32分57秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分57秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1147

 GPRMC,utc时间:01时32分58秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分58秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1146

 GPRMC,utc时间:01时32分59秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时32分59秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1145

 GPRMC,utc时间:01时33分00秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分00秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1144

 GPRMC,utc时间:01时33分01秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分01秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1144

 GPRMC,utc时间:01时33分02秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分02秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1143

 GPRMC,utc时间:01时33分03秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分03秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1142

 GPRMC,utc时间:01时33分04秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分04秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1142

 GPRMC,utc时间:01时33分05秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分05秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1142

 GPRMC,utc时间:01时33分06秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分06秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1142

 GPRMC,utc时间:01时33分07秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分07秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1142

 GPRMC,utc时间:01时33分08秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分08秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1141

 GPRMC,utc时间:01时33分09秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分09秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1142

 GPRMC,utc时间:01时33分10秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分10秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1141

 GPRMC,utc时间:01时33分11秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分11秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1140

 GPRMC,utc时间:01时33分12秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分12秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1140

 GPRMC,utc时间:01时33分13秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分13秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1139

 GPRMC,utc时间:01时33分14秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分14秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1139

 GPRMC,utc时间:01时33分15秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分15秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1139

 GPRMC,utc时间:01时33分16秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分16秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1140

 GPRMC,utc时间:01时33分17秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分17秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1139

 GPRMC,utc时间:01时33分18秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分18秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1139

 GPRMC,utc时间:01时33分19秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时33分19秒  正确纬度:40度47分  正确经度:111度41分  卫星08 高度1138

 GPRMC,utc时间:01时33分20秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
